2019-07-27 00:00:46.774 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-07-27 00:14:55.577 [http-nio-8082-exec-4] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/iCheck/square/blue.css
2019-07-27 00:14:55.591 [http-nio-8082-exec-1] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/verifycode
2019-07-27 00:14:55.598 [http-nio-8082-exec-2] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/jQuery/jquery-2.2.3.min.js
2019-07-27 00:14:55.630 [http-nio-8082-exec-10] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/bootstrap/js/bootstrap.min.js
2019-07-27 00:14:55.637 [http-nio-8082-exec-9] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/iCheck/icheck.min.js
2019-07-27 00:14:55.650 [http-nio-8082-exec-6] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.667 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.669 [http-nio-8082-exec-3] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/js/jquery.form.js
2019-07-27 00:14:55.682 [http-nio-8082-exec-8] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.684 [http-nio-8082-exec-7] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/console/js/login.js
2019-07-27 00:14:55.698 [http-nio-8082-exec-4] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.708 [http-nio-8082-exec-2] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.719 [http-nio-8082-exec-1] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.731 [http-nio-8082-exec-10] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:55.741 [http-nio-8082-exec-9] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:57.609 [http-nio-8082-exec-6] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:57.631 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:57.646 [http-nio-8082-exec-3] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:57.661 [http-nio-8082-exec-7] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
